화면별 필드 유효성 규칙,,,,,,,,
P-001 본인인증,,,,,,,,
화면,필드명,필드 키,타입,필수,유효성 규칙,기본값,에러 메시지,에러 표시 방식
P-001,생년월일,birth_date,날짜,필수,과거만. 만 14세 이상,빈 값,"생년월일을 선택해주세요"
14세 미만: "서비스 이용 불가",피커 하단 인라인
14세 미만: 모달 차단
P-001,본인인증 결과,auth_status,열거형,필수,성공/실패,대기,"인증에 실패했습니다. 다시 시도해주세요",버튼 하단 인라인
P-002 핀 설정,,,,,,,,
화면,필드명,필드 키,타입,필수,유효성 규칙,기본값,에러 메시지,에러 표시 방식
P-002,핀 입력,pin_input,숫자,필수,정확히 6자리 숫자,빈 값,"6자리 숫자를 입력해주세요",필드 하단 인라인
P-002,핀 재입력,pin_confirm,숫자,필수,pin_input과 일치,빈 값,"핀이 일치하지 않습니다",필드 하단 인라인 + 빨강
P-004 동의 (필수),,,,,,,,
화면,필드명,필드 키,타입,필수,유효성 규칙,기본값,에러 메시지,에러 표시 방식
P-004,이용약관 동의,consent_terms,참거짓,필수,체크 필수,미체크,[다음] 비활성,[다음] 버튼 비활성 + 회색
P-004,개인정보 동의,consent_privacy,참거짓,필수,체크 필수,미체크,[다음] 비활성,동일
P-004,민감정보 동의,consent_sensitive,참거짓,필수,체크 필수,미체크,[다음] 비활성,구분선+강조 영역
P-004,만14세 확인,consent_age,참거짓,필수,체크 필수,미체크,[다음] 비활성,동일
P-007 기초 건강정보,,,,,,,,
화면,필드명,필드 키,타입,필수,유효성 규칙,기본값,에러 메시지,에러 표시 방식
P-007,키,height_cm,숫자,선택,50~250,빈 값,"50~250cm 범위로 입력해주세요",필드 하단 인라인
P-007,체중,weight_kg,숫자,선택,10~300,빈 값,"10~300kg 범위로 입력해주세요",필드 하단 인라인
P-007,만성질환,chronic_conditions,태그,선택,최대 10개,빈 배열,"최대 10개까지 입력 가능합니다",태그 추가 버튼 비활성
P-007,복약 정보,medications,태그,선택,최대 20개,빈 배열,"최대 20개까지 입력 가능합니다",동일
P-007,알레르기,allergies,태그,선택,최대 10개,빈 배열,"최대 10개까지 입력 가능합니다",동일
P-009 병원 등록,,,,,,,,
화면,필드명,필드 키,타입,필수,유효성 규칙,기본값,에러 메시지,에러 표시 방식
P-009,병원 코드,hospital_code,문자열,조건부,6~8자리 영숫자 (GPS 폴백 시에만 사용),빈 값,"올바른 코드를 입력해주세요"
코드 무효: "유효하지 않은 코드입니다",필드 하단 인라인
3회: 잠금 카운트다운
P-011 증상 기록 입력,,,,,,,,
화면,필드명,필드 키,타입,필수,유효성 규칙,기본값,에러 메시지,에러 표시 방식
P-011,증상 텍스트,symptom_text,문자열,조건부,최대 1,000자.
텍스트/음성 중 하나 필수,빈 값,"증상을 입력해주세요",[저장] 비활성
텍스트 영역 상단 안내
P-011,음성 녹음,audio_blob,파일,조건부,최대 3분.
텍스트/음성 중 하나 필수,없음,"다시 시도하거나 직접 입력해주세요",녹음 영역 인라인
+ 텍스트 입력 활성화
P-011,변환 텍스트,transcript,문자열,조건부,음성 입력 시 확인 필수,빈 값,—,변환 결과 수정 가능 필드
P-011,첨부 사진,images,파일[],선택,최대 5장, jpg/png, 10MB/장,빈 배열,"최대 5장까지 첨부 가능합니다"
용량: "10MB 이하만 가능합니다",[추가] 비활성 (5장)
토스트 (용량)
P-011,날짜,symptom_date,날짜,필수,과거만 (미래 불가),오늘,"미래 날짜는 선택할 수 없습니다",피커 미래 날짜 비활성
P-011,시간,symptom_time,시간,필수,—,현재 시간,—,—
P-011,강도,severity,정수(1~4),필수,4단계 중 택1,미선택,"증상 강도를 선택해주세요",[저장] 비활성
강도 영역 빨간 테두리
P-011,위치 맥락,location_context,객체,선택,GPS 좌표 또는
카테고리(집/직장/외부),미선택
(F22 동의O → GPS 자동),—,—
P-013 진료 승인 요청,,,,,,,,
화면,필드명,필드 키,타입,필수,유효성 규칙,기본값,에러 메시지,에러 표시 방식
