기능,케이스,조건,처리
F01,텍스트·음성 모두 미입력,저장 시도,저장 비활성. "증상을 입력해주세요"
F01,강도 미선택,저장 시도,저장 비활성. 강도 영역 하이라이트
F01,음성 변환 실패,네트워크/인식 불가,"다시 시도하거나 직접 입력해주세요"
F01,사진 권한 없음,사진 탭,시스템 권한 팝업 → 설정 안내
F01,최대 사진 초과,추가 첨부,버튼 비활성. "최대 5장"
F01,네트워크 없음,저장 시도,로컬 임시 저장 → "연결 시 자동 업로드"
F06,토큰 만료,15분 초과,"QR 만료. 새 QR 요청"
F06,코드 3회 오류,잘못된 코드,1분 잠금 + 남은 시간
F06,카메라 권한 없음,QR 스캔,코드 직접입력 유도
F06,이미 연동,재등록,"이미 연동된 병원이에요"
F07,3분 초과,미응답,"만료. 재체크인(F09)"
F07,알림 권한 없음,앱 비활성,인앱 배너
F07,거절,환자 거절,세션 미연결. 대시보드에 표시
F08,ACTIVE 타임아웃,30분 경과,5분 전 경고 → EXPIRED
F08,WAITING 타임아웃,10분 미전송,EXPIRED
F09,QR 인식 실패,QR 불량/카메라 문제,코드 직접입력 유도
F09,토큰 검증 실패,만료/위변조,"QR 확인 불가. 코드 입력"
F09,GPS 불일치,위치 미일치,경고 표시 후 진행 허용 (차단 안 함)
F09,병원 미등록,최초 방문,"먼저 병원 등록이 필요해요" → F06 안내
F09,증상 미입력,체크인 시도,"증상 기록 후 체크인" → F01 안내
F09,ACTIVE 세션 존재,중복 체크인,"진행 중인 진료가 있어요"
F09-desk,앱 설치 거부,환자가 가입 안내 거부,기존 방식 진료 진행. Bridge 미연결 상태 유지
F13,AI 제안 실패,API 오류/타임아웃,"AI 불러오기 실패. 재시도" + 수동 검색
F16,AI 생성 실패,API 오류,"실패. 재시도 또는 직접 작성"
F16,미컨펌 전송,미컨펌,전송 버튼 비활성
F21,본인인증 실패,인증 오류,재시도 허용
F21,만 14세 미만,생년월일 판별,"서비스 이용 불가" → 온보딩 중단
F22,필수 동의 미완료,다음 탭,[다음] 비활성
공통,AI API 공통 실패,타임아웃/에러,기능별 폴백 UI + 재시도
