환자 온보딩 화면 (F21/F22) — v3.0,,,,,,
화면 ID,P-000~P-014 (15개),,,,,
화면명,면책→로그인→실증특례→약관→본인인증→PIN→생체→마이데이터→웨어러블→기초건강→완료,,,,,
기능 ID,"F21, F22",,,,,
사용자,환자,,,,,
진입 조건,앱 최초 실행,,,,,
화면 목적,"면책 고지부터 가입 완료까지 15개 화면의 레이아웃·컴포넌트·상태 정의",,,,,
레이아웃 개요,"순차 진행형. P-003~P-014: 상단 진행 표시 + 중앙 콘텐츠 + 하단 CTA",,,,,
v2.3 대비 변경,"9개→15개 확장. 로그인/실증특례/PIN분리/Face ID/마이데이터인증/Apple Health 추가",,,,,
,,,,,,
영역/섹션,컴포넌트,데이터 바인딩,상태,인터랙션,제약/규칙,PPS/정책
P-000 면책 고지 / 랜딩,,,,,,
중앙,앱 로고 + 슬로건,—,—,—,"이음 / Eum / 의사와 환자를 잇는 임상 지원 플랫폼",
중앙,면책 고지 텍스트 블록,—,영구 노출,"스크롤 불필요 (한 화면 내 표시)","포트폴리오/연구 목적, 실제 의료 목적 불가, 책임 제한",
하단,[시작하기] 버튼,—,항상 활성,탭 → P-001,,
P-001 로그인 / 회원가입,,,,,,
상단,앱 로고,—,—,—,,
중앙,전화번호/아이디 입력,login_id,빈/입력중,타이핑,,
,비밀번호 입력,login_pw,빈/입력중,타이핑,,
,[로그인] 버튼,—,입력 완료 시 활성,탭 → P-015 (기존 회원),,
,구분선 ("또는"),—,—,—,,
,[회원가입] 버튼,—,항상 활성,탭 → P-002,,
P-002 실증특례 고지 동의,,,,,,
상단,뒤로가기 + 타이틀,—,—,← P-001,,
중앙 (스크롤),1. 서비스 목적,—,—,스크롤,"규제 샌드박스 실증특례 고지",
,2. AI 기능 제한,—,—,—,"AI 참고용, 의학적 판단 대체 불가",
,3. 데이터 처리,—,—,—,"개인정보보호법 준수",
,4. 책임 제한,—,—,—,"AI 분석 결과 의료 판단 책임 면제",
하단,[취소] 버튼,—,항상 활성,탭 → P-001,,
,[확인] 버튼,—,항상 활성,탭 → P-003,,
P-003 약관 동의 (Progress 25%),,,,,,
상단,"뒤로가기 + 회원가입 + 진행바 25%",—,—,← P-002,,
중앙,[전체 동의] 체크박스,—,4항목 전체 시 자동 체크,탭 → 4항목 일괄,,
,구분선,—,—,—,,
,[✓] 서비스 이용약관 (필수) + [보기],consent_terms,미체크/체크,"체크 토글, [보기]→약관 전문",,PPS43
,[✓] 개인정보 수집·이용 동의 (필수) + [보기],consent_privacy,미체크/체크,"체크 토글, [보기]→전문",,PPS43
,[✓] 실증특례 참여 동의 (필수) + [보기],consent_sandbox,미체크/체크,"체크 토글, [보기]→전문",,PPS43
,[✓] 만 14세 이상 확인 (필수),consent_age,미체크/체크,체크 토글,,PPS43
하단,[본인인증 →] 버튼,—,4항목 완료 시 활성,탭 → P-004,미완료 시 비활성,
P-004 본인 인증 (Progress 50%),,,,,,
상단,"뒤로가기 + 본인인증 + 진행바 50%",—,—,← P-003,,
중앙,이름 입력,user_name,빈/입력됨,타이핑,,PPS40
,전화번호 입력 + [인증요청],phone_number,빈/입력됨,타이핑 → [인증요청] 탭,,
,인증번호 6자리 입력,auth_code,빈/입력중/완료/실패,"숫자 입력, 6자리",타이머 2:59,
,타이머 표시,countdown,02:59→00:00,실시간 감소,만료 시 재요청,
,안내 텍스트,—,—,—,"본인인증 목적으로만 사용, 별도 저장 없음",
하단,[다음 →] 버튼,—,인증 완료 시 활성,탭 → P-005,,
P-005 간편 비밀번호 설정 (Progress 75%),,,,,,
상단,"뒤로가기 + 간편 비밀번호 + 진행바 75%",—,—,← P-004,,
중앙,안내 텍스트,—,—,—,"간편 비밀번호를 설정해 주세요",
,6자리 입력 표시,pin_input,○→●,입력 시 마스킹,6자리,PPS41
,숫자 키패드 (1~9/0/⌫),—,—,탭 → 입력/삭제,,
하단,(자동 전환),—,6자리 완료 시,자동 → P-006,,
P-006 간편 비밀번호 확인 (Progress 75%),,,,,,
상단,"뒤로가기 + 간편 비밀번호 확인 + 진행바 75%",—,—,← P-005,,
중앙,안내 텍스트,—,—,—,"한 번 더 입력해 주세요",
,6자리 재입력 표시,pin_confirm,○→●,입력 시 마스킹,,PPS41
,숫자 키패드,—,—,탭 → 입력/삭제,,
하단,(자동 전환),—,"일치 → P-007 / 불일치 → 초기화",자동,,
P-007 생체인증 등록 (Progress 75%),,,,,,
상단,"뒤로가기 + 생체인증 등록 + 진행바 75%",—,—,← P-006,,
중앙,잠금 아이콘,—,—,—,,PPS42
,타이틀 + 설명,—,—,—,"Face ID 또는 지문으로 빠르게 로그인",
하단,[지금 설정하기 →] 버튼,—,기기 지원 시 활성,탭 → P-008,미지원 시 숨김,
,[나중에 설정하기] 버튼,—,항상 활성,탭 → P-009,,
P-008 Face ID 팝업 (시스템 모달),,,,,,
오버레이,배경 흐림,—,—,—,,
모달 중앙,Face ID 아이콘,—,—,—,"iOS 시스템 모달",
,"이음 앱이 Face ID를 사용하려고 합니다",—,—,—,,
,[허용 안 함] 버튼,—,—,탭 → P-007,,
,[허용] 버튼,—,—,탭 → P-009,,
P-009 의료 마이데이터 동의 (Progress 100%),,,,,,
상단,"뒤로가기 + 의료 마이데이터 동의 + 진행바 100%",—,—,← P-007,,
중앙,아이콘 + 타이틀 + 설명,—,—,—,"의료 마이데이터 이용 동의 / 연동하면 더 정확한 건강 관리",
,[✓] 진료기록 조회 (필수),consent_medical_record,미체크/체크,체크 토글,,PPS44
,[✓] 처방이력 조회 (필수),consent_prescription,미체크/체크,체크 토글,,
,[ ] 건강검진 결과 (선택),consent_checkup,미체크/체크,체크 토글,,
,[ ] 예방접종 이력 (선택),consent_vaccine,미체크/체크,체크 토글,,
,[✓] 해외 API 전송 동의 (필수),consent_api_transfer,미체크/체크,체크 토글,"개인정보보호법 제28조의2",PPS55
,법적 고지 블록,—,—,—,"개인정보보호법/보건의료기본법, 동의 철회 시 즉시 삭제",
하단,[본인인증 후 연동 →] 버튼,—,필수 항목 체크 시 활성,탭 → P-010,,
,[나중에 연동하기] 텍스트 링크,—,항상 활성,탭 → P-011,,
P-010 마이데이터 인증,,,,,,
상단,"뒤로가기 + 마이데이터 인증",—,—,← P-009,,
중앙,보건복지부 아이콘,—,—,—,,
,주민등록번호 입력,resident_id,앞6자리 + 뒤1자리,입력 → 마스킹,"뒷자리 1자리만 입력, 나머지 마스킹",PPS40
,[금융인증서] 버튼,—,활성,탭 → 외부 인증 → P-011,,
,[PASS 본인인증] 버튼,—,활성,탭 → 외부 인증 → P-011,,
P-011 웨어러블 연동 (Progress 100%),,,,,,
상단,"뒤로가기 + 웨어러블 연동 + 진행바 100%",—,—,← P-009,,
중앙,시계 아이콘 + 타이틀 + 설명,—,—,—,"웨어러블 기기 연동 / AI가 더 정확하게 분석",
,Apple Health 카드 + [연동],—,—,탭 → P-012,,
,Samsung Health 카드 + [연동],—,—,탭 → P-013,,
,수집 데이터 안내,—,—,—,"심박수, 수면, 혈압, 걸음 수",
하단,[완료 →] 버튼,—,연동 1개 이상 시 활성,탭 → P-013,,
,[나중에 연동하기] 텍스트 링크,—,항상 활성,탭 → P-013,,
P-012 Apple Health 권한,,,,,,
상단,"뒤로가기 + Apple Health 연동",—,—,← P-011,,
중앙,Apple Health 아이콘,—,—,—,,
,걸음 수 토글,health_steps,ON/OFF,토글,,
,수면 토글,health_sleep,ON/OFF,토글,,
,심박수 토글,health_hr,ON/OFF,토글,,
,혈압 토글,health_bp,ON/OFF,토글,,
,체중 토글,health_weight,ON/OFF,토글,,
,신장 토글,health_height,ON/OFF (기본 OFF),토글,,
하단,[허용] 버튼,—,활성,탭 → P-013,,
,[허용 안 함] 버튼,—,활성,탭 → P-011,,
P-013 기초 건강정보 입력,,,,,,
상단,"뒤로가기 + 기초 건강정보",—,—,← P-011,,
중앙,키 입력 (cm),height_cm,빈/입력됨,숫자 키패드,"50~250, 건너뛰기 가능",PPS09
,체중 입력 (kg),weight_kg,빈/입력됨,숫자 키패드,"10~300, 건너뛰기 가능",
,만성질환 입력 (태그),chronic_conditions[],빈/입력됨,"자유 텍스트 태그 + [✕] 삭제 + [+ 추가]",최대 10개,
,복용 약물 입력 (태그),medications[],빈/입력됨,"자유 텍스트 태그 + [✕] 삭제 + [+ 약물 추가]",최대 20개,
,알레르기 입력 (태그),allergies[],빈/입력됨,"자유 텍스트 태그 (반응 유형 포함) + [✕] + [+ 추가]",최대 10개,
하단,[완료 →] 버튼,—,항상 활성,탭 → P-014,,
P-014 가입 완료,,,,,,
중앙,완료 아이콘 (✅),—,—,—,,
,타이틀 + 인사말,user_name,—,—,"가입이 완료됐어요! / {이름}님, 이음과 함께 건강한 하루를 시작해 보세요.",
하단,[시작하기 →] 버튼,—,항상 활성,탭 → P-015,,
