📁 참고용 — v0.8 원본,,,,,,,
대분류,카테고리 코드,카테고리명 (앱 표시),ICD-11 참조 범위,하위 증상 항목 (환자 선택용),환자 표시 텍스트 예시,MVP 포함,비고
머리·얼굴,SYM-01,머리 아파요,MG30 (두통장애)
MB40 (두통),두통(전체) | 편두통(한쪽) | 뒷머리 통증 | 관자놀이 통증 | 이마 통증 | 머리 무거움 | 박동성 통증,"머리가 아파요",Y,통증 위치·양상 세분화. F03 AI 추가 질문으로 보완
머리·얼굴,SYM-02,어지러워요,MB48 (어지럼증),빙글빙글 도는 느낌 | 아찔한 느낌 | 눈앞이 캄캄 | 균형 잡기 어려움 | 일어설 때 어지러움,"어지럽고 빙글빙글 돌아요",Y,
머리·얼굴,SYM-03,얼굴이 이상해요,MB47 (안면 증상),얼굴 붓기 | 얼굴 통증 | 얼굴 마비·떨림 | 턱 통증 | 안면 비대칭,"얼굴 한쪽이 뻣뻣해요",Y,안면 마비는 응급 안내 필요 — 예외 흐름 고려
눈,SYM-04,눈이 불편해요,MC10–MC18 (시각 증상),시력 저하(흐림) | 눈 통증 | 눈 충혈 | 눈 가려움 | 눈물 과다 | 눈 건조 | 눈부심 | 눈꺼풀 부종 | 날파리 보임(비문증) | 빛 번쩍임,"눈이 뻑뻑하고 충혈돼요",Y,급격한 시력 저하 — 응급 안내 고려
귀·코·목,SYM-05,귀가 불편해요,MC20–MC26 (청각 증상),귀 통증 | 이명(소리 들림) | 청력 저하 | 귀 먹먹함 | 귀 분비물 | 귀 가려움,"귀에서 삐- 소리가 나요",Y,
귀·코·목,SYM-06,코가 불편해요,MA20 (비강 증상),콧물 | 코막힘 | 재채기 | 코피 | 후각 저하·상실 | 코 통증,"코가 막히고 콧물이 나요",Y,후각 상실은 COVID-19 이후 주요 증상
귀·코·목,SYM-07,목이 불편해요,MA22 (인후 증상),인후통(목 아픔) | 목 부종 | 삼키기 어려움 | 목소리 변화(쉰 목) | 목 이물감 | 편도 부종,"목이 아프고 침 삼키기 힘들어요",Y,
호흡기·가슴,SYM-08,숨쉬기 힘들어요,MD11 (호흡곤란),숨이 차요 | 가슴 답답함 | 깊은 숨 어려움 | 누우면 숨이 참 | 운동 시 숨 참 | 천명음(쌕쌕),"숨이 차고 가슴이 답답해요",Y,호흡곤란 중증도에 따라 응급 안내 고려
호흡기·가슴,SYM-09,기침해요,MD12 (기침),마른 기침 | 가래 동반 기침 | 밤에 심한 기침 | 피 섞인 기침(객혈) | 3주 이상 만성 기침,"기침이 계속 나고 가래가 있어요",Y,객혈 — 응급 안내
심혈관,SYM-10,가슴이 아파요,MD30 (흉통),가슴 통증(전체) | 가슴 쥐어짜는 느낌 | 가슴 찌르는 통증 | 가슴 압박감 | 등으로 퍼지는 통증,"가슴이 쥐어짜는 것 같아요",Y,흉통은 심근경색 가능 — 응급 안내 필수
심혈관,SYM-11,심장이 두근거려요,MD31 (심계항진),두근거림 | 빠른 맥박 | 불규칙한 맥박 | 가슴 두드림 느낌,"심장이 빠르게 뛰어요",Y,
소화기·배,SYM-12,배가 아파요,ME04 (복통),윗배 통증 | 아랫배 통증 | 배꼽 주변 통증 | 옆구리 통증 | 명치 통증 | 배 전체 통증 | 식후 통증 | 공복 시 통증,"식사 후 윗배가 아파요",Y,통증 위치·시점 세분화. 급성 복통 응급 안내 고려
소화기·배,SYM-13,소화가 안 돼요,ME08 (소화불량),속 쓰림 | 더부룩함 | 가스 참 | 식욕 부진 | 조기 포만감 | 트림,"속이 더부룩하고 쓰려요",Y,
