환자 HOME 대시보드 — v3.0,,,,,,
화면 ID,P-018,,,,,
화면명,HOME 대시보드,,,,,
기능 ID,—,,,,,
사용자,환자,,,,,
진입 조건,체크인 완료 / 탭바,,,,,
화면 목적,"환자가 최근 증상, 지난 진료 결과, 오늘 건강 상태, 복약 알림을 한눈에 확인하는 대시보드",,,,,
레이아웃 개요,"4영역 수직 스크롤: ① 최근 증상 → ② 지난 진료 결과 → ③ 오늘의 건강 → ④ 복약 알림 + 하단 탭바",,,,,
v2.3 대비 변경,"P-010→P-018. 구성 변경: 건강상태/현재증상/최근진료/증상추세 → 최근증상/진료결과/오늘건강/복약알림",,,,,
,,,,,,
영역/섹션,컴포넌트,데이터 바인딩,상태,인터랙션,제약/규칙,PPS/정책
상단 바,"Eum Home + 메뉴(⋮)",—,—,—,,
인사말,환영 메시지,user_name,—,—,"{이름}님, 오늘도 건강한 하루 보내세요.",
① 최근 증상 섹션,섹션 타이틀,—,—,—,"📝 최근 증상",
,최근 7일 요약,symptom_count / avg_severity / trend,—,—,"2건 · 평균 강도 2.5 / 추세: 안정",
,가장 최근 증상 카드,latest_symptom,날짜+시간+내용,—,"시간 12시간제 표기 (UX 가이드)",
,[+ 증상 기록하기] 버튼,—,항상 활성,탭 → P-019,,
② 지난 진료 결과 섹션,섹션 타이틀,—,—,—,"📋 지난 진료 결과",
,진료 결과 카드,last_session,날짜+병원+의사+세션ID+요약,결과 있을 때 표시,—,결과 없으면 미표시,
,[상세 보기 →] 링크,—,결과 있을 때 표시,탭 → P-020,,
③ 오늘의 건강 섹션,섹션 타이틀,—,—,—,"📊 오늘의 건강",
,심박수,today_hr,숫자 + bpm,—,,
,혈압,today_bp,수축기/이완기 mmHg,—,,
,수면,today_sleep,시간,—,,
,걸음 수,today_steps,숫자 + 보,—,,
,출처 표시,source_platform,—,—,"출처: Apple Health",
④ 복약 알림 섹션,섹션 타이틀,—,—,—,"💊 복약 알림",
,복약 항목,medication_name / schedule / status,복용완료/미복용,—,,
,활성 복약 수,active_med_count,—,—,"현재 복용 중인 약: N종 (건강기능식품 제외)",
탭바,"🏠 홈 │ 📝 증상 기록 │ 📋 진료요약 │ 👤 마이페이지",—,홈 탭 활성,탭 전환,"증상기록→P-019, 진료요약→P-020",
빈 상태 (최초),"아직 기록된 증상이 없어요 + [증상 기록하기] CTA",—,증상 0건 시,탭 → P-019,,
