전체 화면 목록 총괄 (v3.0),,,,,,,,,,,
화면 ID,앱,화면명,기능 ID,분류,사용자,진입 조건,이전 화면,다음 화면,설계 우선순위,v2.3 대응 ID,변경 내용
P-000,환자,면책 고지 / 랜딩,F22,핵심,환자,앱 최초 실행,—,P-001,1,P-00X+P-000,면책 모달+시작페이지 통합
P-001,환자,로그인 / 회원가입,F21,핵심,환자,P-000 시작하기,P-000,"로그인→P-015 / 회원가입→P-002",1,—,신규 추가
P-002,환자,실증특례 고지 동의,F22,핵심,환자,P-001 회원가입,P-001,"확인→P-003 / 취소→P-001",1,—,신규 추가
P-003,환자,약관 동의,F22,핵심,환자,P-002 확인,P-002,P-004,1,P-004,항목 변경 (이용약관+개인정보+실증특례+14세)
P-004,환자,본인 인증 (휴대폰),F21,핵심,환자,P-003 동의 완료,P-003,P-005,1,P-001,ID 변경
P-005,환자,간편 비밀번호 설정,F21,핵심,환자,P-004 인증 완료,P-004,P-006 (자동),1,P-002 (전반),PIN 설정+확인 분리
P-006,환자,간편 비밀번호 확인,F21,핵심,환자,P-005 6자리 입력,P-005,P-007 (자동),1,P-002 (후반),PIN 설정+확인 분리
P-007,환자,생체인증 등록,F21,핵심,환자,P-006 완료,P-006,"설정→P-008 / 나중에→P-009",1,P-003,ID 변경
P-008,환자,Face ID 팝업,F21,핵심,환자,P-007 지금 설정하기,P-007,"허용→P-009 / 거부→P-007",1,—,신규 추가 (시스템 모달)
P-009,환자,의료 마이데이터 동의,F22,핵심,환자,P-007/P-008,P-007,"연동→P-010 / 나중에→P-011",1,P-005+P-006,선택동의+공공데이터 통합
P-010,환자,마이데이터 인증,F22,핵심,환자,P-009 연동,P-009,P-011,1,—,신규 추가
P-011,환자,웨어러블 연동,F22,핵심,환자,P-009/P-010,P-009,"Apple→P-012 / 완료→P-013",1,P-007W,ID 변경
P-012,환자,Apple Health 권한,F22,핵심,환자,P-011 Apple 연동,P-011,"허용→P-013 / 거부→P-011",1,—,신규 추가
P-013,환자,기초 건강정보 입력,F22,핵심,환자,P-011,P-011,P-014,1,P-007,ID 변경
P-014,환자,가입 완료,F22,핵심,환자,P-013 완료,—,P-015,1,P-008,ID 변경
P-015,환자,병원 GPS 확인,F06,핵심,환자,P-014 / 로그인 / GPS 감지,P-014,"맞아요→P-017 / 다른병원→P-016",1,P-009+P-012,병원등록+체크인GPS 통합
P-016,환자,병원 찾기,F06,핵심,환자,P-015 다른 병원,P-015,P-017,1,P-009,병원 검색 분리
P-017,환자,체크인 (데이터 전송 동의),F07/F09,핵심,환자,P-015/P-016,P-015,P-018,1,P-013,승인요청 → 체크인 통합
P-018,환자,HOME 대시보드,—,핵심,환자,P-017 체크인 / 탭바,P-017,"증상→P-019 / 진료결과→P-020",1,P-010,"구성 변경 (최근증상/진료결과/오늘건강/복약알림)"
P-019,환자,증상 기록 챗봇,F01,핵심,환자,P-018 증상기록,P-018,저장→P-018,1,P-011,폼→챗봇 대화형 변경
P-020,환자,진료 요약,F16,핵심,환자,P-018 진료결과 / 알림,P-018,확인→P-018,1,P-015+P-016~P-018,"3단→5단 구조, 쇼케이스 통합"
D-000,의사,의사 대시보드,F11/F12/F13,핵심,의사,환자 선택,—,"데이터→D-F12 / 결과→D-001",1,D-002,"5영역→320~360px 패널, ID 변경"
D-F12,의사,증상 타임라인 (사이드 패널),F12,핵심,의사,D-000 데이터 보기,D-000,닫기→D-000,1,—,신규 추가
D-001,의사,결과 확인 및 전송,F16,핵심,의사,D-000 진료 종료,D-000,전송→완료,1,D-003,ID 변경
,,,,,,,,,,,(삭제) v2.3 P-014 세션 상태,와이어프레임에서 삭제
,,,,,,,,,,,(삭제) v2.3 D-000 의사 면책 모달,와이어프레임에서 삭제
,,,,,,,,,,,(삭제) v2.3 D-001 환자 대기열,와이어프레임에서 삭제
,,,,,,,,,,,(삭제) v2.3 D-004 타과의뢰 입력,D-001에 통합
,,,,,,,,,,,(삭제) v2.3 D-005 행동가이드 입력,D-001에 통합
,,,,,,,,,,,(삭제) v2.3 K-001 접수 데스크,와이어프레임에서 삭제
